Year;Public_school_teachers;Other_college_grads
1979;$1,052 ;$1,364 
1980;$1,014;$1,330
1981;$1,022;$1,340
1982;$1,037;$1,367
1983;$1,050;$1,387
1984;$1,092;$1,408
1985;$1,118;$1,435
1986;$1,171;$1,495
1987;$1,195;$1,519
1988;$1,233;$1,548
1989;$1,211;$1,510
1990;$1,218;$1,509
1991;$1,213;$1,510
1992;$1,224;$1,526
1993;$1,250 ;$1,536 
1994;$1,273;$1,545
1995;$1,296;$1,555
1996;$1,319;$1,564
1997;$1,311;$1,596
1998;$1,316;$1,644
1999;$1,316;$1,705
2000;$1,319;$1,727
2001;$1,311;$1,751
2002;$1,322;$1,775
2003;$1,336;$1,773
2004;$1,334;$1,773
2005;$1,292;$1,766
2006;$1,283;$1,776
2007;$1,293;$1,758
2008;$1,277;$1,760
2009;$1,333;$1,812
2010;$1,352;$1,811
2011;$1,302;$1,767
2012;$1,284;$1,784
2013;$1,280;$1,794
2014;$1,259;$1,784
2015;$1,286;$1,844
2016;$1,292;$1,891
2017;$1,288;$1,870
2018;$1,288;$1,907
2019;$1,319;$1,931
2020;$1,339;$2,005
2021;$1,348 ;$2,009 
